Day,Replicate,Mosq.species,Met_RFP,Met_Hyb,Ctrl_Fung,Ctrl_Pyr,Perm,Delta
11,Replicate4,An.coluzzii,0,0,0,0,0,1
11.5,Replicate4,An.coluzzii,0,0,0,0,0,0
12,Replicate4,An.coluzzii,0,0,0,0,0,0
12.5,Replicate4,An.coluzzii,0,0,0,0,0,0
13,Replicate4,An.coluzzii,0,0,0,0,0,0
13.5,Replicate4,An.coluzzii,0,0,0,0,0,0
14,Replicate4,An.coluzzii,0,0,0,0,0,0
Alive,Replicate4,An.coluzzii,0,0,24,25,18,17
0,Replicate1,An.gambiae s.s.,0,0,0,0,0,0
0.5,Replicate1,An.gambiae s.s.,0,0,0,0,0,0
1,Replicate1,An.gambiae s.s.,0,0,0,0,3,0
1.5,Replicate1,An.gambiae s.s.,0,0,0,0,0,0
2,Replicate1,An.gambiae s.s.,1,3,0,0,0,0
2.5,Replicate1,An.gambiae s.s.,2,4,0,0,0,0
3,Replicate1,An.gambiae s.s.,0,1,0,0,0,0
3.5,Replicate1,An.gambiae s.s.,1,9,0,0,0,0
4,Replicate1,An.gambiae s.s.,0,6,0,0,0,0
4.5,Replicate1,An.gambiae s.s.,0,0,0,0,0,0
5,Replicate1,An.gambiae s.s.,3,0,0,0,0,0
5.5,Replicate1,An.gambiae s.s.,2,0,0,0,0,0
6,Replicate1,An.gambiae s.s.,2,2,0,0,0,0
6.5,Replicate1,An.gambiae s.s.,5,1,0,0,0,0
7,Replicate1,An.gambiae s.s.,1,0,0,0,0,0
7.5,Replicate1,An.gambiae s.s.,0,3,0,1,0,0
8,Replicate1,An.gambiae s.s.,6,0,0,0,0,0
8.5,Replicate1,An.gambiae s.s.,1,0,0,0,0,0
9,Replicate1,An.gambiae s.s.,3,0,0,0,0,0
9.5,Replicate1,An.gambiae s.s.,0,0,0,0,0,0
10,Replicate1,An.gambiae s.s.,0,0,0,0,0,0
10.5,Replicate1,An.gambiae s.s.,0,0,0,0,0,0
11,Replicate1,An.gambiae s.s.,0,0,0,0,0,0
11.5,Replicate1,An.gambiae s.s.,0,0,0,0,0,0
12,Replicate1,An.gambiae s.s.,0,0,0,0,0,0
12.5,Replicate1,An.gambiae s.s.,0,0,0,0,0,0
13,Replicate1,An.gambiae s.s.,0,0,0,0,0,1
13.5,Replicate1,An.gambiae s.s.,0,0,0,0,0,0
14,Replicate1,An.gambiae s.s.,0,0,0,0,0,0
Alive,Replicate1,An.gambiae s.s.,0,0,26,24,22,19
0,Replicate2,An.gambiae s.s.,0,0,0,0,0,0
0.5,Replicate2,An.gambiae s.s.,0,0,0,0,0,0
1,Replicate2,An.gambiae s.s.,0,0,0,0,2,2
1.5,Replicate2,An.gambiae s.s.,0,0,0,0,0,0
2,Replicate2,An.gambiae s.s.,1,0,0,0,0,0
2.5,Replicate2,An.gambiae s.s.,1,3,0,0,0,0
3,Replicate2,An.gambiae s.s.,1,2,0,0,0,0
3.5,Replicate2,An.gambiae s.s.,0,0,0,0,0,0
4,Replicate2,An.gambiae s.s.,1,5,0,0,0,0
4.5,Replicate2,An.gambiae s.s.,3,7,0,0,0,0
5,Replicate2,An.gambiae s.s.,1,5,0,0,0,0
5.5,Replicate2,An.gambiae s.s.,0,1,0,0,0,0
6,Replicate2,An.gambiae s.s.,0,0,0,0,0,1
6.5,Replicate2,An.gambiae s.s.,5,0,0,0,0,0
7,Replicate2,An.gambiae s.s.,1,1,0,0,0,0
7.5,Replicate2,An.gambiae s.s.,6,0,0,0,0,0
8,Replicate2,An.gambiae s.s.,0,0,0,0,0,0
8.5,Replicate2,An.gambiae s.s.,1,3,0,0,1,0
9,Replicate2,An.gambiae s.s.,0,0,0,0,0,0
9.5,Replicate2,An.gambiae s.s.,3,2,0,0,0,0
10,Replicate2,An.gambiae s.s.,0,0,0,0,0,0
10.5,Replicate2,An.gambiae s.s.,1,0,0,0,0,0
11,Replicate2,An.gambiae s.s.,0,0,0,0,2,0
11.5,Replicate2,An.gambiae s.s.,0,0,0,0,0,0
12,Replicate2,An.gambiae s.s.,0,0,0,0,0,0
12.5,Replicate2,An.gambiae s.s.,0,0,0,0,0,0
13,Replicate2,An.gambiae s.s.,0,0,0,0,0,0
13.5,Replicate2,An.gambiae s.s.,0,0,0,0,0,0
14,Replicate2,An.gambiae s.s.,0,0,0,0,0,0
Alive,Replicate2,An.gambiae s.s.,0,0,26,25,20,19
0,Replicate3,An.gambiae s.s.,0,0,0,0,0,0
0.5,Replicate3,An.gambiae s.s.,0,0,0,0,0,0
1,Replicate3,An.gambiae s.s.,0,0,0,0,1,1
1.5,Replicate3,An.gambiae s.s.,0,0,0,0,0,0
2,Replicate3,An.gambiae s.s.,0,2,0,0,0,0
2.5,Replicate3,An.gambiae s.s.,0,4,0,0,0,0
3,Replicate3,An.gambiae s.s.,2,1,0,0,0,0
3.5,Replicate3,An.gambiae s.s.,3,2,0,0,0,0
4,Replicate3,An.gambiae s.s.,0,9,0,0,0,0
4.5,Replicate3,An.gambiae s.s.,1,5,0,0,0,0
5,Replicate3,An.gambiae s.s.,2,1,0,0,0,0
5.5,Replicate3,An.gambiae s.s.,2,0,0,0,0,0
6,Replicate3,An.gambiae s.s.,0,0,0,0,0,0
6.5,Replicate3,An.gambiae s.s.,5,2,0,0,0,0
7,Replicate3,An.gambiae s.s.,1,1,0,0,0,0
7.5,Replicate3,An.gambiae s.s.,0,0,0,0,0,0
8,Replicate3,An.gambiae s.s.,7,1,0,0,0,0
8.5,Replicate3,An.gambiae s.s.,3,0,0,0,1,0
9,Replicate3,An.gambiae s.s.,0,0,0,0,0,0
9.5,Replicate3,An.gambiae s.s.,2,1,0,0,0,0
