Replicate,Mosq.strain,days post inf, num mosq,testing net,typ fung strain,testingtime sec,landtime sec,flighttime sec,num flight,num landing
1,An.coluzzii,4,1,contr_le,RFP,300,209,91,3,2
1,An.coluzzii,4,2,contr_le,RFP,300,195,105,3,4
1,An.coluzzii,4,3,contr_le,RFP,300,194,106,2,3
1,An.coluzzii,4,4,contr_le,RFP,300,182,118,4,5
1,An.coluzzii,4,5,contr_le,RFP,300,198,102,3,2
1,An.coluzzii,4,1,contr_le,Hybrid,300,268,32,3,3
1,An.coluzzii,4,2,contr_le,Hybrid,300,246,54,4,3
1,An.coluzzii,4,3,contr_le,Hybrid,300,272,28,3,4
1,An.coluzzii,4,4,contr_le,Hybrid,300,282,18,2,2
1,An.coluzzii,4,5,contr_le,Hybrid,300,283,17,4,5
1,An.coluzzii,4,1,trait_e,ctrl,300,81,219,6,7
1,An.coluzzii,4,2,trait_e,ctrl,300,11,289,5,5
1,An.coluzzii,4,3,trait_e,ctrl,300,41,259,4,5
1,An.coluzzii,4,4,trait_e,ctrl,300,75,225,6,5
1,An.coluzzii,4,5,trait_e,ctrl,300,67,233,4,4
1,An.coluzzii,4,1,trait_e,RFP,300,271,29,2,3
1,An.coluzzii,4,2,trait_e,RFP,300,124,176,4,5
1,An.coluzzii,4,3,trait_e,RFP,300,96,204,5,5
1,An.coluzzii,4,4,trait_e,RFP,300,104,196,6,5
1,An.coluzzii,4,5,trait_e,RFP,300,153,147,6,6
1,An.coluzzii,4,1,trait_e,Hybrid,300,211,89,6,5
1,An.coluzzii,4,2,trait_e,Hybrid,300,226,74,6,7
1,An.coluzzii,4,3,trait_e,Hybrid,300,275,25,7,7
1,An.coluzzii,4,4,trait_e,Hybrid,300,261,39,4,4
1,An.coluzzii,4,5,trait_e,Hybrid,300,258,42,7,8
2,An.coluzzii,4,1,contr_le,ctrl,300,221,79,4,4
2,An.coluzzii,4,2,contr_le,ctrl,300,134,166,4,2
2,An.coluzzii,4,3,contr_le,ctrl,300,183,117,2,2
2,An.coluzzii,4,4,contr_le,ctrl,300,232,68,3,2
2,An.coluzzii,4,5,contr_le,ctrl,300,139,161,3,3
2,An.coluzzii,4,1,contr_le,RFP,300,192,108,4,5
2,An.coluzzii,4,2,contr_le,RFP,300,158,142,4,3
2,An.coluzzii,4,3,contr_le,RFP,300,182,118,4,4
2,An.coluzzii,4,4,contr_le,RFP,300,173,127,3,4
2,An.coluzzii,4,5,contr_le,RFP,300,238,62,4,5
2,An.coluzzii,4,1,contr_le,Hybrid,300,264,36,3,4
2,An.coluzzii,4,2,contr_le,Hybrid,300,263,37,3,4
2,An.coluzzii,4,3,contr_le,Hybrid,300,242,58,4,5
2,An.coluzzii,4,4,contr_le,Hybrid,300,287,13,2,2
2,An.coluzzii,4,5,contr_le,Hybrid,300,254,46,4,5
2,An.coluzzii,4,1,trait_e,ctrl,300,65,235,4,5
2,An.coluzzii,4,2,trait_e,ctrl,300,30,270,6,7
2,An.coluzzii,4,3,trait_e,ctrl,300,95,205,3,2
2,An.coluzzii,4,4,trait_e,ctrl,300,83,217,5,6
2,An.coluzzii,4,5,trait_e,ctrl,300,60,240,10,9
2,An.coluzzii,4,1,trait_e,RFP,300,70,230,8,7
2,An.coluzzii,4,2,trait_e,RFP,300,135,165,9,7
2,An.coluzzii,4,3,trait_e,RFP,300,125,175,9,3
2,An.coluzzii,4,4,trait_e,RFP,300,107,193,5,9
2,An.coluzzii,4,5,trait_e,RFP,300,140,160,4,4
2,An.coluzzii,4,1,trait_e,Hybrid,300,246,54,9,4
2,An.coluzzii,4,2,trait_e,Hybrid,300,245,55,6,6
2,An.coluzzii,4,3,trait_e,Hybrid,300,240,60,2,3
2,An.coluzzii,4,4,trait_e,Hybrid,300,283,17,4,4
2,An.coluzzii,4,5,trait_e,Hybrid,300,276,24,4,3
3,An.coluzzii,4,1,contr_le,ctrl,300,139,161,3,2
3,An.coluzzii,4,2,contr_le,ctrl,300,245,55,4,3
3,An.coluzzii,4,3,contr_le,ctrl,300,203,97,2,2
3,An.coluzzii,4,4,contr_le,ctrl,300,208,92,2,3
3,An.coluzzii,4,5,contr_le,ctrl,300,143,157,3,3
3,An.coluzzii,4,1,contr_le,RFP,300,182,118,4,3
3,An.coluzzii,4,2,contr_le,RFP,300,184,116,4,4
3,An.coluzzii,4,3,contr_le,RFP,300,166,134,4,2
3,An.coluzzii,4,4,contr_le,RFP,300,187,113,5,3
3,An.coluzzii,4,5,contr_le,RFP,300,177,123,4,3
3,An.coluzzii,4,1,contr_le,Hybrid,300,288,12,2,2
3,An.coluzzii,4,2,contr_le,Hybrid,300,281,19,2,3
3,An.coluzzii,4,3,contr_le,Hybrid,300,262,38,2,3
3,An.coluzzii,4,4,contr_le,Hybrid,300,284,16,2,3
3,An.coluzzii,4,5,contr_le,Hybrid,300,275,25,2,3
3,An.coluzzii,4,1,trait_e,ctrl,300,68,232,11,9
3,An.coluzzii,4,2,trait_e,ctrl,300,55,245,5,4
3,An.coluzzii,4,3,trait_e,ctrl,300,33,267,8,6
3,An.coluzzii,4,4,trait_e,ctrl,300,43,257,7,7
3,An.coluzzii,4,5,trait_e,ctrl,300,46,254,4,3
3,An.coluzzii,4,1,trait_e,RFP,300,176,124,7,6
3,An.coluzzii,4,2,trait_e,RFP,300,106,194,8,9
3,An.coluzzii,4,3,trait_e,RFP,300,163,137,10,6
3,An.coluzzii,4,4,trait_e,RFP,300,145,155,6,6
3,An.coluzzii,4,5,trait_e,RFP,300,183,117,3,3
3,An.coluzzii,4,1,trait_e,Hybrid,300,267,33,3,4
3,An.coluzzii,4,2,trait_e,Hybrid,300,273,27,5,5
3,An.coluzzii,4,3,trait_e,Hybrid,300,242,58,4,5
3,An.coluzzii,4,4,trait_e,Hybrid,300,264,36,4,3
3,An.coluzzii,4,5,trait_e,Hybrid,300,198,102,8,6
1,An.coluzzii,3,1,ctrl,contr_le,300,208,92,2,2
1,An.coluzzii,3,2,ctrl,contr_le,300,172,128,2,2
1,An.coluzzii,3,3,ctrl,contr_le,300,178,122,3,4
1,An.coluzzii,3,4,ctrl,contr_le,300,194,106,2,2
1,An.coluzzii,3,5,ctrl,contr_le,300,193,107,2,4
1,An.coluzzii,3,1,ctrl,RFP,300,179,121,5,6
1,An.coluzzii,3,2,ctrl,RFP,300,156,144,2,2
1,An.coluzzii,3,3,ctrl,RFP,300,194,106,3,3
1,An.coluzzii,3,4,ctrl,RFP,300,193,107,4,4
1,An.coluzzii,3,5,ctrl,RFP,300,204,96,3,4
1,An.coluzzii,3,1,ctrl,Hybrid,300,252,48,2,1
1,An.coluzzii,3,2,ctrl,Hybrid,300,198,102,3,3
1,An.coluzzii,3,3,ctrl,Hybrid,300,232,68,2,2
1,An.coluzzii,3,4,ctrl,Hybrid,300,240,60,3,4
1,An.coluzzii,3,5,ctrl,Hybrid,300,203,97,3,4
1,An.coluzzii,3,1,trait_e,contr_le,300,38,262,7,6
1,An.coluzzii,3,2,trait_e,contr_le,300,25,275,6,6
1,An.coluzzii,3,3,trait_e,contr_le,300,106,194,4,4
1,An.coluzzii,3,4,trait_e,contr_le,300,89,211,5,5
1,An.coluzzii,3,5,trait_e,contr_le,300,48,252,2,3
1,An.coluzzii,3,1,trait_e,RFP,300,119,181,7,5
1,An.coluzzii,3,2,trait_e,RFP,300,161,139,5,4
1,An.coluzzii,3,3,trait_e,RFP,300,97,203,3,2
1,An.coluzzii,3,4,trait_e,RFP,300,124,176,4,3
1,An.coluzzii,3,5,trait_e,RFP,300,3,297,6,4
1,An.coluzzii,3,1,trait_e,Hybrid,300,149,151,4,3
1,An.coluzzii,3,2,trait_e,Hybrid,300,190,110,6,7
1,An.coluzzii,3,3,trait_e,Hybrid,300,137,163,5,5
1,An.coluzzii,3,4,trait_e,Hybrid,300,227,73,4,5
1,An.coluzzii,3,5,trait_e,Hybrid,300,246,54,7,8
2,An.coluzzii,3,1,ctrl,contr_le,300,204,96,3,4
2,An.coluzzii,3,2,ctrl,contr_le,300,227,73,2,2
2,An.coluzzii,3,3,ctrl,contr_le,300,185,115,4,4
2,An.coluzzii,3,4,ctrl,contr_le,300,190,110,3,3
2,An.coluzzii,3,5,ctrl,contr_le,300,135,165,3,3
2,An.coluzzii,3,1,ctrl,RFP,300,202,98,4,5
2,An.coluzzii,3,2,ctrl,RFP,300,183,117,3,3
2,An.coluzzii,3,3,ctrl,RFP,300,203,97,3,4
2,An.coluzzii,3,4,ctrl,RFP,300,159,141,2,4
2,An.coluzzii,3,5,ctrl,RFP,300,217,83,3,4
2,An.coluzzii,3,1,ctrl,Hybrid,300,226,74,4,3
2,An.coluzzii,3,2,ctrl,Hybrid,300,239,61,3,3
2,An.coluzzii,3,3,ctrl,Hybrid,300,210,90,2,2
2,An.coluzzii,3,4,ctrl,Hybrid,300,265,35,3,4
2,An.coluzzii,3,5,ctrl,Hybrid,300,255,45,1,1
2,An.coluzzii,3,1,trait_e,contr_le,300,0,300,1,0
2,An.coluzzii,3,2,trait_e,contr_le,300,49,251,4,4
2,An.coluzzii,3,3,trait_e,contr_le,300,29,271,8,4
2,An.coluzzii,3,4,trait_e,contr_le,300,10,290,7,6
2,An.coluzzii,3,5,trait_e,contr_le,300,0,300,1,0
2,An.coluzzii,3,1,trait_e,RFP,300,111,189,4,4
2,An.coluzzii,3,2,trait_e,RFP,300,39,261,3,3
2,An.coluzzii,3,3,trait_e,RFP,300,101,199,7,7
2,An.coluzzii,3,4,trait_e,RFP,300,27,273,8,5
2,An.coluzzii,3,5,trait_e,RFP,300,10,290,7,5
2,An.coluzzii,3,1,trait_e,Hybrid,300,215,85,6,7
2,An.coluzzii,3,2,trait_e,Hybrid,300,224,76,3,2
2,An.coluzzii,3,3,trait_e,Hybrid,300,226,74,3,4
2,An.coluzzii,3,4,trait_e,Hybrid,300,199,101,4,4
2,An.coluzzii,3,5,trait_e,Hybrid,300,207,93,5,2
3,An.coluzzii,3,1,ctrl,contr_le,300,206,94,2,5
3,An.coluzzii,3,2,ctrl,contr_le,300,197,103,4,5
3,An.coluzzii,3,3,ctrl,contr_le,300,193,107,3,3
3,An.coluzzii,3,4,ctrl,contr_le,300,206,94,3,4
3,An.coluzzii,3,5,ctrl,contr_le,300,147,153,3,4
3,An.coluzzii,3,1,ctrl,RFP,300,211,89,3,4
3,An.coluzzii,3,2,ctrl,RFP,300,190,110,4,2
3,An.coluzzii,3,3,ctrl,RFP,300,226,74,2,3
3,An.coluzzii,3,4,ctrl,RFP,300,224,76,2,2
3,An.coluzzii,3,5,ctrl,RFP,300,194,106,2,5
3,An.coluzzii,3,1,ctrl,Hybrid,300,215,85,3,2
3,An.coluzzii,3,2,ctrl,Hybrid,300,230,70,2,2
3,An.coluzzii,3,3,ctrl,Hybrid,300,209,91,2,2
3,An.coluzzii,3,4,ctrl,Hybrid,300,250,50,2,4
3,An.coluzzii,3,5,ctrl,Hybrid,300,248,52,1,1
3,An.coluzzii,3,1,trait_e,contr_le,300,22,278,1,1
3,An.coluzzii,3,2,trait_e,contr_le,300,36,264,4,3
3,An.coluzzii,3,3,trait_e,contr_le,300,51,249,7,4
3,An.coluzzii,3,4,trait_e,contr_le,300,77,223,4,5
3,An.coluzzii,3,5,trait_e,contr_le,300,11,289,6,5
3,An.coluzzii,3,1,trait_e,RFP,300,192,108,3,3
3,An.coluzzii,3,2,trait_e,RFP,300,33,267,3,3
3,An.coluzzii,3,3,trait_e,RFP,300,144,156,6,5
3,An.coluzzii,3,4,trait_e,RFP,300,31,269,9,8
3,An.coluzzii,3,5,trait_e,RFP,300,30,270,10,8
3,An.coluzzii,3,1,trait_e,Hybrid,300,203,97,4,6
3,An.coluzzii,3,2,trait_e,Hybrid,300,185,115,8,7
3,An.coluzzii,3,3,trait_e,Hybrid,300,236,64,5,5
3,An.coluzzii,3,4,trait_e,Hybrid,300,231,69,3,2
3,An.coluzzii,3,5,trait_e,Hybrid,300,263,37,4,4
1,An.coluzzii,2,1,contr_le,ctrl,300,184,116,2,3
1,An.coluzzii,2,2,contr_le,ctrl,300,191,109,3,3
1,An.coluzzii,2,3,contr_le,ctrl,300,177,123,2,2
1,An.coluzzii,2,4,contr_le,ctrl,300,202,98,4,4
1,An.coluzzii,2,5,contr_le,ctrl,300,195,105,3,2
1,An.coluzzii,2,1,contr_le,RFP,300,181,119,4,4
1,An.coluzzii,2,2,contr_le,RFP,300,193,107,3,3
1,An.coluzzii,2,3,contr_le,RFP,300,179,121,4,3
1,An.coluzzii,2,4,contr_le,RFP,300,168,132,4,5
1,An.coluzzii,2,5,contr_le,RFP,300,178,122,4,5
1,An.coluzzii,2,1,contr_le,Hybrid,300,175,125,4,5
1,An.coluzzii,2,2,contr_le,Hybrid,300,208,92,2,2
1,An.coluzzii,2,3,contr_le,Hybrid,300,159,141,3,5
1,An.coluzzii,2,4,contr_le,Hybrid,300,217,83,4,5
1,An.coluzzii,2,5,contr_le,Hybrid,300,205,95,3,4
1,An.coluzzii,2,1,trait_e,ctrl,300,127,173,6,4
1,An.coluzzii,2,2,trait_e,ctrl,300,64,236,4,4
1,An.coluzzii,2,3,trait_e,ctrl,300,45,255,5,4
1,An.coluzzii,2,4,trait_e,ctrl,300,23,277,8,6
1,An.coluzzii,2,5,trait_e,ctrl,300,0,300,1,0
1,An.coluzzii,2,1,trait_e,RFP,300,171,129,8,8
1,An.coluzzii,2,2,trait_e,RFP,300,113,187,2,2
1,An.coluzzii,2,3,trait_e,RFP,300,94,206,8,7
1,An.coluzzii,2,4,trait_e,RFP,300,0,300,1,0
1,An.coluzzii,2,5,trait_e,RFP,300,37,263,7,5
1,An.coluzzii,2,1,trait_e,Hybrid,300,126,174,6,6
1,An.coluzzii,2,2,trait_e,Hybrid,300,94,206,7,6
1,An.coluzzii,2,3,trait_e,Hybrid,300,0,300,1,0
1,An.coluzzii,2,4,trait_e,Hybrid,300,57,243,13,5
1,An.coluzzii,2,5,trait_e,Hybrid,300,160,140,7,5
2,An.coluzzii,2,1,contr_le,ctrl,300,175,125,4,4
2,An.coluzzii,2,2,contr_le,ctrl,300,222,78,3,2
2,An.coluzzii,2,3,contr_le,ctrl,300,231,69,2,3
2,An.coluzzii,2,4,contr_le,ctrl,300,211,89,4,3
2,An.coluzzii,2,5,contr_le,ctrl,300,203,97,5,1
2,An.coluzzii,2,1,contr_le,RFP,300,201,99,3,4
2,An.coluzzii,2,2,contr_le,RFP,300,105,195,4,3
