Replicate,Mosq.strain,days post inf, num mosq,testing net,typ fung strain,testingtime sec,landtime sec,flighttime sec,num flight,num landing
2,An.coluzzii,1,2,trait_e,ctrl,300,50,250,6,5
2,An.coluzzii,1,3,trait_e,ctrl,300,62,238,10,9
2,An.coluzzii,1,4,trait_e,ctrl,300,3,297,9,8
2,An.coluzzii,1,5,trait_e,ctrl,300,0,300,1,0
2,An.coluzzii,1,1,trait_e,RFP,300,102,198,7,8
2,An.coluzzii,1,2,trait_e,RFP,300,22,278,3,5
2,An.coluzzii,1,3,trait_e,RFP,300,144,156,7,8
2,An.coluzzii,1,4,trait_e,RFP,300,0,300,9,8
2,An.coluzzii,1,5,trait_e,RFP,300,11,289,14,11
2,An.coluzzii,1,1,trait_e,Hybrid,300,13,287,7,7
2,An.coluzzii,1,2,trait_e,Hybrid,300,104,196,8,7
2,An.coluzzii,1,3,trait_e,Hybrid,300,8,292,6,6
2,An.coluzzii,1,4,trait_e,Hybrid,300,0,300,1,0
2,An.coluzzii,1,5,trait_e,Hybrid,300,15,285,5,6
3,An.coluzzii,1,1,ctrl,contr_le,300,208,92,3,3
3,An.coluzzii,1,2,ctrl,contr_le,300,193,107,3,3
3,An.coluzzii,1,3,ctrl,contr_le,300,114,186,4,3
3,An.coluzzii,1,4,ctrl,contr_le,300,194,106,3,3
3,An.coluzzii,1,5,ctrl,contr_le,300,185,115,2,2
3,An.coluzzii,1,1,ctrl,RFP,300,221,79,2,3
3,An.coluzzii,1,2,ctrl,RFP,300,205,95,3,2
3,An.coluzzii,1,3,ctrl,RFP,300,157,143,4,3
3,An.coluzzii,1,4,ctrl,RFP,300,168,132,4,5
3,An.coluzzii,1,5,ctrl,RFP,300,162,138,3,6
3,An.coluzzii,1,1,ctrl,Hybrid,300,162,138,2,2
3,An.coluzzii,1,2,ctrl,Hybrid,300,204,96,2,2
3,An.coluzzii,1,3,ctrl,Hybrid,300,187,113,4,4
3,An.coluzzii,1,4,ctrl,Hybrid,300,226,74,3,3
3,An.coluzzii,1,5,ctrl,Hybrid,300,184,116,4,4
3,An.coluzzii,1,1,trait_e,contr_le,300,0,300,1,0
3,An.coluzzii,1,2,trait_e,contr_le,300,56,244,4,3
3,An.coluzzii,1,3,trait_e,contr_le,300,24,276,10,9
3,An.coluzzii,1,4,trait_e,contr_le,300,56,244,12,11
3,An.coluzzii,1,5,trait_e,contr_le,300,2,298,11,1
3,An.coluzzii,1,1,trait_e,RFP,300,0,300,1,0
3,An.coluzzii,1,2,trait_e,RFP,300,71,229,8,7
3,An.coluzzii,1,3,trait_e,RFP,300,0,300,1,0
3,An.coluzzii,1,4,trait_e,RFP,300,121,179,7,6
3,An.coluzzii,1,5,trait_e,RFP,300,7,293,8,7
3,An.coluzzii,1,1,trait_e,Hybrid,300,136,164,4,3
3,An.coluzzii,1,2,trait_e,Hybrid,300,0,300,1,0
3,An.coluzzii,1,3,trait_e,Hybrid,300,8,292,3,4
3,An.coluzzii,1,4,trait_e,Hybrid,300,0,300,4,3
3,An.coluzzii,1,5,trait_e,Hybrid,300,117,183,7,6
